75,33,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,46,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,47,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,48,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
75,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
76,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
77,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
78,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
79,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
80,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
81,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
82,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
83,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
84,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
85,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
86,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
87,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
88,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
89,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
90,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
91,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
92,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
93,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
94,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
95,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
96,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
97,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
98,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
99,49,up,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: null; 1,2: null; 2,2: null],turn_right
99,49,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: null; 1,2: null; 2,2: null],turn_left
99,49,up,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: null; 1,2: null; 2,2: null],turn_right
99,49,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: null; 1,2: null; 2,2: null],turn_left
99,49,up,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: null; 1,2: null; 2,2: null],turn_right
99,49,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: null; 1,2: null; 2,2: null],turn_left
99,49,up,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: null; 1,2: null; 2,2: null],turn_left
99,49,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: null; 1,2: null; 2,2: null],move_forward
99,48,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,47,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,46,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,45,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,44,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,43,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,42,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,41,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,40,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,39,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,38,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,37,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,36,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,35,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,34,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,33,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,32,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,31,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,30,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,29,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,28,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,27,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,26,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,25,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,24,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,23,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,22,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,21,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,20,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,19,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,18,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,17,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,16,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,15,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,14,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,13,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,12,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,11,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,10,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,9,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,8,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,7,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,6,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,5,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,4,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,3,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,2,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,1,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,0,left,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],turn_right
99,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],turn_left
99,0,left,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],turn_left
goal reached
