20,21,right,[0,0: _; 1,0: 11; 2,0: _; 0,1: _; 1,1: 26; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
20,17,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 26; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
20,17,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 26; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
20,18,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 26; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
20,19,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 26; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
20,20,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 26; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
20,21,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 26; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
20,22,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 26; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],turn_left
20,22,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 26; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
21,22,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 26; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
22,22,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 26; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
23,22,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 26; 2,1: _; 0,2: _; 1,2: 72; 2,2: _],move_forward
24,22,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 26; 2,1: _; 0,2: 72; 1,2: _; 2,2: _],move_forward
25,22,up,[0,0: _; 1,0: _; 2,0: 13; 0,1: _; 1,1: 26; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
26,22,up,[0,0: _; 1,0: 13; 2,0: 1; 0,1: _; 1,1: 26; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
26,22,left,[0,0: _; 1,0: 13; 2,0: 1; 0,1: _; 1,1: 26; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
26,22,up,[0,0: _; 1,0: 13; 2,0: 1; 0,1: _; 1,1: 26; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
26,22,right,[0,0: 13; 1,0: _; 2,0: 1; 0,1: _; 1,1: 26; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
26,23,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 26; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
